violation,region,date_range,age_group,gender,cleared_by_charge,diversionary_program,other_cleared_otherwise,total,year,violation_type,youth_adult,population,year_diff
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,642,200,1614,2456,2015,Possession,Youth,2528132,-4
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,3177,728,5389,9294,2015,Possession,Youth,2528132,-4
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,2023,194,2065,4282,2015,Possession,Adult,31615827,-4
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,11539,1161,10146,22846,2015,Possession,Adult,31615827,-4
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,1510,73,1012,2595,2015,Possession,Adult,31615827,-4
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,8588,315,5389,14292,2015,Possession,Adult,31615827,-4
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,1219,56,836,2111,2015,Possession,Adult,31615827,-4
Cannabis- Possession (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,6758,180,4154,11092,2015,Possession,Adult,31615827,-4
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,114,17,23,154,2015,Trafficking,Youth,2528132,-4
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,689,79,129,897,2015,Trafficking,Youth,2528132,-4
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,423,1,22,446,2015,Trafficking,Adult,31615827,-4
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,2338,15,128,2481,2015,Trafficking,Adult,31615827,-4
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,392,0,20,412,2015,Trafficking,Adult,31615827,-4
